"","boruta_abbs_consensus_survfit$finalDecision"
"Prevotella","Confirmed"
"Propionimicrobium","Rejected"
"Streptococcus","Rejected"
"Lactobacillus","Rejected"
"Sneathia","Rejected"
"Corynebacterium","Rejected"
"Campylobacter_B","Rejected"
"Fusobacterium","Rejected"
"Porphyromonas_A","Rejected"
"Ezakiella","Rejected"
"Fenollaria","Rejected"
"Enterococcus","Tentative"
"Veillonella","Confirmed"
"Finegoldia","Rejected"
"Anaerococcus","Rejected"
"Haemophilus_D","Rejected"
"Pauljensenia","Rejected"
"Proteus","Rejected"
"Peptoniphilus_A","Rejected"
"Actinobaculum","Rejected"
"Acinetobacter","Confirmed"
"Winkia","Confirmed"
"Mobiluncus","Rejected"
"Cutibacterium","Rejected"
"Actinotignum","Rejected"
"Ureaplasma","Rejected"
"Jonquetella","Rejected"
