"","boruta_abbs_nocontaminant_survfit$finalDecision"
"Prevotella","Rejected"
"Propionimicrobium","Rejected"
"Lactobacillus","Rejected"
"Sneathia","Rejected"
"Campylobacter_B","Rejected"
"Fusobacterium","Rejected"
"Porphyromonas_A","Rejected"
"Ezakiella","Rejected"
"Fenollaria","Rejected"
"Enterococcus","Rejected"
"Veillonella","Rejected"
"Finegoldia","Rejected"
"Anaerococcus","Rejected"
"Haemophilus_D","Rejected"
"Pauljensenia","Rejected"
"Proteus","Rejected"
"Peptoniphilus_A","Rejected"
"Actinobaculum","Rejected"
"Winkia","Confirmed"
"Mobiluncus","Rejected"
"Cutibacterium","Rejected"
"Actinotignum","Rejected"
"Ureaplasma","Rejected"
"Jonquetella","Rejected"
"Varibaculum","Rejected"
