"","scr_out$p"
"105-1",0.999248672182282
"112-1",0.998845146835698
"112-6",0.997996897866497
"116-7",0.998554867211515
"118-6",0.999716534434466
"119-6",0.998695767768197
"120-1",0.999724154873352
"121-7",0.997987544689655
"122-3",0.996328711297144
"122-4",0.995151543326698
"124-1",0.996885980695056
"127-6",0.999567335802188
"128-3",0.998009389209495
"129-4",0.999590634883092
"132-1",0.998906537169896
"133-4",0.999423763560923
"134-5",0.99931493250032
"134-7",0.990244491973329
"135-5",0.999222491097541
"139-6",0.998801343843483
"140-1",0.996906968363104
"140-6",0.998706050092805
"141-7",0.997679990931028
"142-1",0.998622415308213
"142-4",0.999387274022613
"142-6",0.998593404596974
"144-2",0.998320713413618
"145-1",0.995968647441464
"145-3",0.998337065991129
"147-1",0.998291672631893
"147-2",0.997810047889936
"147-3",0.999326444740707
"150-4",1
"150-5",0.999148757841292
"151-6",0.997268870528368
"152-5",0.999262648555692
"154-4",0.999517232111299
"156-1",0.995498512407598
"156-5",0.999939782504458
"159-5",0.998784376544651
"159-7",0.999255414983101
"159-8",0.998889182887096
"160-3",0.998332246133312
"165-3",0.990974813285808
"165-6",0.997796502869267
"167-5",0.99934585415666
"167-6",0.999373930748434
"167-7",0.99829720774308
"168-8",0.998937372374203
"172-3",0.999195885952883
"173-2",0.998519998882958
"173-4",0.995543178496553
"175-2",0.997479019864736
"175-4",0.998848523506819
"177-2",0.999468885021016
"177-6",0.999267098465648
"184-5",0.999927658673182
"185-6",0.999685890782355
"186-1",1
"209-1",0.99923434156137
"209-4",0.996595736796241
"216-3",0.998322113613065
"219-1",0.999409627506021
"219-6",0.997997414770025
"223-3",0.99956447625592
"224-1",0.999325651122026
"227-3",0.995705584180366
"235-1",0.998807426668017
"236-10",0.998192557629349
"237-1",0.986984001244851
"237-4",0.998022411282732
"239-5",0.985740692176489
"239-6",0.991708002681116
"241-1",0.998712582809049
"241-2",0.997739601823303
"241-4",0.99532959860056
"241-5",0.998936964918691
"245-2",0.999110319694077
"245-4",0.999530324641565
"245-5",0.99699132095394
"249-3",0.999233359707943
"249-4",0.999578653541249
"249-7",0.999248257267769
"251-2",0.997484626234659
"251-3",0.996325046669016
"251-4",0.998106740325487
"251-7",0.998982669835569
"259-4",0.998619958276854
"260-6",0.999302037236501
